regime,reference,method,metric,n,interval_available,mean_method_minus_reference,ci_low,ci_high,method_win_rate,reference_win_rate,tie_rate
persistent_bias,adaptive_ridge,rls,rmse,30,true,-0.4974196923579678,-0.7142117161829611,-0.2806276685329745,1.0,0.0,0.0
persistent_bias,adaptive_ridge,hedge,rmse,30,true,-0.39704432566408315,-0.6170473701477528,-0.17704128118041357,0.9333333333333333,0.06666666666666667,0.0
persistent_bias,adaptive_ridge,exp3,rmse,30,true,0.038066641010365505,-0.18080187363696573,0.25693515565769676,0.26666666666666666,0.7333333333333333,0.0
persistent_bias,adaptive_ridge,fixed_share,rmse,30,true,-0.35474394172525076,-0.5694044739137541,-0.14008340953674736,0.8666666666666667,0.13333333333333333,0.0
persistent_bias,adaptive_ridge,passive_aggressive,rmse,30,true,-0.4901593828915251,-0.705911945405963,-0.2744068203770872,1.0,0.0,0.0
persistent_bias,adaptive_ridge,dma,rmse,30,true,-0.27973756220546436,-0.49269972582763255,-0.0667753985832962,0.7333333333333333,0.26666666666666666,0.0
persistent_bias,adaptive_ridge,ensemble_mean,rmse,30,true,-0.3943101607935992,-0.6140666779421249,-0.17455364364507348,0.9333333333333333,0.06666666666666667,0.0
persistent_bias,adaptive_ridge,oracle_best_member,rmse,30,true,-0.19280662996884482,-0.41045396655907374,0.0248407066213841,0.6,0.4,0.0
persistent_bias,adaptive_ridge,validation_best_member,rmse,30,true,0.09067261714818721,-0.1454506084618143,0.3267958427581887,0.3,0.7,0.0
member_degradation,adaptive_ridge,static_ridge,rmse,30,true,-0.1324241472434325,-0.2971311926265105,0.03228289813964552,0.6333333333333333,0.36666666666666664,0.0
member_degradation,adaptive_ridge,rolling_ridge,rmse,30,true,-0.5025928860443394,-0.6939259564793667,-0.3112598156093121,1.0,0.0,0.0
member_degradation,adaptive_ridge,rls,rmse,30,true,-0.5050139685421016,-0.6963856667990749,-0.31364227028512826,1.0,0.0,0.0
member_degradation,adaptive_ridge,hedge,rmse,30,true,-0.3989300370216004,-0.5912788727218867,-0.20658120132131413,0.9,0.1,0.0
member_degradation,adaptive_ridge,exp3,rmse,30,true,0.02018272568943468,-0.17125859922313375,0.21162405060200312,0.3333333333333333,0.6666666666666666,0.0
member_degradation,adaptive_ridge,fixed_share,rmse,30,true,-0.429806356361582,-0.6198731040663551,-0.23973960865680885,0.9333333333333333,0.06666666666666667,0.0
member_degradation,adaptive_ridge,passive_aggressive,rmse,30,true,-0.4888544917982051,-0.6790150716912845,-0.29869391190512573,1.0,0.0,0.0
member_degradation,adaptive_ridge,dma,rmse,30,true,-0.37279930980045933,-0.5637129036876403,-0.1818857159132784,0.8666666666666667,0.13333333333333333,0.0
member_degradation,adaptive_ridge,ensemble_mean,rmse,30,true,-0.3866543346382794,-0.5806884306187932,-0.19262023865776567,0.9,0.1,0.0
member_degradation,adaptive_ridge,oracle_best_member,rmse,30,true,-0.2864457014672924,-0.47750829777111653,-0.09538310516346832,0.8,0.2,0.0
member_degradation,adaptive_ridge,validation_best_member,rmse,30,true,0.09883489133878826,-0.09973603692785427,0.2974058196054308,0.3,0.7,0.0
recurring,adaptive_ridge,static_ridge,rmse,30,true,0.037272193424055584,0.028574688593727728,0.04596969825438344,0.0,1.0,0.0
recurring,adaptive_ridge,rolling_ridge,rmse,30,true,0.017409878700289576,0.01451553256023512,0.020304224840344033,0.0,1.0,0.0
recurring,adaptive_ridge,rls,rmse,30,true,0.020943703148473068,0.017283743632212904,0.024603662664733232,0.0,1.0,0.0
recurring,adaptive_ridge,hedge,rmse,30,true,0.08274900152474382,0.07393108175945712,0.09156692129003052,0.0,1.0,0.0
recurring,adaptive_ridge,exp3,rmse,30,true,0.2546558865118954,0.23177450479052428,0.2775372682332665,0.0,1.0,0.0
recurring,adaptive_ridge,fixed_share,rmse,30,true,0.028726658821758896,0.02394720906800069,0.0335061085755171,0.0,1.0,0.0
recurring,adaptive_ridge,passive_aggressive,rmse,30,true,0.03535819156880027,0.02943143444298847,0.041284948694612064,0.0,1.0,0.0
recurring,adaptive_ridge,dma,rmse,30,true,0.04239598526596153,0.035237486595849944,0.04955448393607311,0.0,1.0,0.0
recurring,adaptive_ridge,ensemble_mean,rmse,30,true,0.11681436648701228,0.10622321229409319,0.12740552067993136,0.0,1.0,0.0
recurring,adaptive_ridge,oracle_best_member,rmse,30,true,0.15458071048749958,0.12635561467152567,0.18280580630347348,0.0,1.0,0.0
recurring,adaptive_ridge,validation_best_member,rmse,30,true,0.16378736568859173,0.12907349739191007,0.1985012339852734,0.0,1.0,0.0
variance_burst,adaptive_ridge,static_ridge,rmse,30,true,-0.03914747975229091,-0.06378392708049878,-0.01451103242408304,1.0,0.0,0.0
variance_burst,adaptive_ridge,rolling_ridge,rmse,30,true,-0.16912454694375187,-0.2228205829895232,-0.11542851089798054,1.0,0.0,0.0
variance_burst,adaptive_ridge,rls,rmse,30,true,-0.17269433631400993,-0.22646672004251184,-0.11892195258550804,1.0,0.0,0.0
variance_burst,adaptive_ridge,hedge,rmse,30,true,-0.09742332481436522,-0.1554282255663487,-0.039418424062381746,0.7333333333333333,0.26666666666666666,0.0
variance_burst,adaptive_ridge,exp3,rmse,30,true,0.1265562855992518,0.06477584460089303,0.18833672659761058,0.16666666666666666,0.8333333333333334,0.0
variance_burst,adaptive_ridge,fixed_share,rmse,30,true,-0.12277323618724378,-0.1784516578916287,-0.06709481448285888,0.9,0.1,0.0
variance_burst,adaptive_ridge,passive_aggressive,rmse,30,true,-0.1525412799061738,-0.20340348119966647,-0.10167907861268113,1.0,0.0,0.0
variance_burst,adaptive_ridge,dma,rmse,30,true,-0.07679886807701361,-0.13551235877500217,-0.01808537737902504,0.7,0.3,0.0
variance_burst,adaptive_ridge,ensemble_mean,rmse,30,true,-0.08680481595454588,-0.14445413989088554,-0.029155492018206226,0.7333333333333333,0.26666666666666666,0.0
variance_burst,adaptive_ridge,oracle_best_member,rmse,30,true,-0.045275802184618456,-0.10914743900042836,0.018595834631191445,0.5666666666666667,0.43333333333333335,0.0
variance_burst,adaptive_ridge,validation_best_member,rmse,30,true,0.06706978956831243,-0.015294003175895451,0.1494335823125203,0.4,0.6,0.0
discrete_gaussian,adaptive_ridge,static_ridge,rmse,30,true,-0.0019344588912072699,-0.0022724749217427026,-0.0015964428606718372,0.9666666666666667,0.03333333333333333,0.0
discrete_gaussian,adaptive_ridge,rolling_ridge,rmse,30,true,-6.590323719964375e-5,-0.0011079274695668855,0.0009761209951675979,0.3,0.7,0.0
discrete_gaussian,adaptive_ridge,rls,rmse,30,true,-0.0016407774745242905,-0.0024422772036712132,-0.0008392777453773677,0.9,0.1,0.0
discrete_gaussian,adaptive_ridge,hedge,rmse,30,true,0.054048189845722364,0.041507713147543236,0.06658866654390148,0.0,1.0,0.0
discrete_gaussian,adaptive_ridge,exp3,rmse,30,true,0.26598388153120156,0.24460291472416554,0.28736484833823756,0.0,1.0,0.0
discrete_gaussian,adaptive_ridge,fixed_share,rmse,30,true,0.03765362004099628,0.028339681793428155,0.04696755828856441,0.0,1.0,0.0
discrete_gaussian,adaptive_ridge,passive_aggressive,rmse,30,true,-0.00012315087491410933,-0.0014388208834049073,0.0011925191335766887,0.5333333333333333,0.4666666666666667,0.0
discrete_gaussian,adaptive_ridge,dma,rmse,30,true,0.1283323255480657,0.11480542002192531,0.1418592310742061,0.0,1.0,0.0
discrete_gaussian,adaptive_ridge,ensemble_mean,rmse,30,true,0.07002950873288621,0.05305943502386641,0.08699958244190602,0.0,1.0,0.0
discrete_gaussian,adaptive_ridge,oracle_best_member,rmse,30,true,0.19375103620455644,0.16804845788372122,0.21945361452539167,0.0,1.0,0.0
discrete_gaussian,adaptive_ridge,validation_best_member,rmse,30,true,0.19402889161022496,0.16831069522457784,0.2197470879958721,0.0,1.0,0.0
