relative_path,status,old_sha256,new_sha256,reason
reports/Interim_Reviewer_Response_Current_Results.pdf,added,,f511ba645ca9b72e0b3b543c7af231bc0b3f6661aa5a081f9ea63ae29b071a44,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/Interim_Reviewer_Response_Current_Results.tex,added,,fa780aeefe0c7a8e4d4cc4f306011f05b87227c8b0034a4b31fb0de009184d74,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/JULIA_CODE_AUDIT.md,removed,c8d11fa40b8ce76befa840f958f41611ec9309a342ade73889011667c485f858,,superseded recovery/validation artifact removed as stale
reports/PACKAGE_VALIDATION.md,removed,abef0fd3d10c836b241987e48d64c028f78e66907c6fde060d58c6cbbdc54e4e,,superseded recovery/validation artifact removed as stale
reports/REMOVED_STALE_FILES.csv,removed,5fe32af2e977a4602e0218d78345f17e416ffc6c033f75c58ec2aef719ebe22c,,superseded recovery/validation artifact removed as stale
reports/REMOVED_STALE_FILES_STRESS_STRING_FIX.csv,added,,9f4040647ad5470a68ffe3ab4638d66b989b1ba681983928eabe04a75eebe567,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/RESULTS_AND_ARTIFACT_INDEX.md,removed,293206c790a386e13b6461c90afc2e75b7b8a162078d779b5704f005f028351d,,superseded recovery/validation artifact removed as stale
reports/STATIC_VALIDATION.md,removed,3cb8cad233cacad45bf56ebc38640cf4262d2a9bb7b574a43d4a87861f5a860a,,superseded recovery/validation artifact removed as stale
reports/STATIC_VALIDATION_STRESS_STRING_FIX_2026-07-30.md,added,,42975c8880721135023298e252f819c4f2f75f1b961e02979ca0423a15aae698,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/STATIC_VALIDATION_SYNTHETIC_SAFI_2026-07-30.md,removed,3cb8cad233cacad45bf56ebc38640cf4262d2a9bb7b574a43d4a87861f5a860a,,superseded recovery/validation artifact removed as stale
reports/STRESS_STRING_CONVERSION_AUDIT_2026-07-30.md,added,,9274709896e24564fa8dc483b49741070a17066957800927fc7ba218299054c8,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/SYNTHETIC_SAFI_CHANGED_FILES.csv,removed,6ec4c07442bc90f3dea6f2fd7eb6486a7f69e2979f59a193a2bb15ad29649aa6,,superseded recovery/validation artifact removed as stale
reports/preserved_current_results/README.md,added,,8c48fdc54a4836269899502eb11b3f49ec040d5bee36aff40ccc6d2e58a61f04,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/SOURCE_RUN_FINGERPRINT.txt,added,,271aaacd6cbe42b924899996151cf1c440755750e3eb8c1b1093962198ce63e8,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/current_run_stage_status.csv,added,,bebb1489173bf10a3c898fae43c3b89fab6d83b3cccfdd321431e012cac3c7d7,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/manuscript_sweeps_paired_intervals.csv,added,,ef42cf344e4552d9efcdaaadf0bcd7069693cb1b3d297484db174e3842ed7b52,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/manuscript_sweeps_summary.csv,added,,8377e5a78a9e343c0f9894d0a39ca3cf09181df554d1772d12c6d0b89eaf3b1d,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/real_world_all_metrics.csv,added,,b0ef32d4fa56e0e41ce12920710c08b9e8564d43963f5c5e92fd2ec6ba6a15ea,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/safi_moving_block_bootstrap.csv,added,,8cca2a5fc70f3e70c50c630941bbb0bb9a6df027e7b681bb0de44db56999ac69,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/sensitivity_safi.csv,added,,9eb1c6a3582316e79bd5407d9408782ff98ec38c3a694b23b7f82d77626063ff,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/sensitivity_safi_stability.csv,added,,b60db79d14c74d2e780bab314cdcce586c25c6841d760ea56c7fb74c50277308,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/snapshot_sha256.csv,added,,18c898001d803c740df1b2beb074067283fae899df16d9201f4ed24cb8468f94,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/stress_tests_summary_provisional.csv,added,,6beda1b5e4b4c71336443b8fc11785c94adf86b6f4e1bea45b3428dbede86a44,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/synthetic_meta_paired_intervals.csv,added,,08e6c2f79056e77d1732173cb6ac1f77a059a5425cf348ce8c4d8fc53b02c5f5,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/synthetic_meta_summary.csv,added,,7c4f21e5b9377251f9784169cb2a6eeba5db26bcb7524c8fbe4232441106765d,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/synthetic_paired_rmse_intervals.csv,added,,b704ef2f3e665009a2068528d61df360e353da900ef985cd6d38f2d6bb48d911,"new stress-fix code, recovery tooling, or evidence/report artifact"
reports/preserved_current_results/synthetic_regimes_summary.csv,added,,734a06a37162dc6f5f8b72403b5b25a958006de467386ac56a35485d5e200f0d,"new stress-fix code, recovery tooling, or evidence/report artifact"
scripts/publication/migrate_after_stress_string_fix.jl,added,,65e43cfaccd1e1bd408e32378287ddea4ba830a5e363e722e78d26bbcfe0b5b3,"new stress-fix code, recovery tooling, or evidence/report artifact"
scripts/publication/migrate_after_stress_string_fix.ps1,added,,2296a9690568bfe2f01766a00420372ccd8c691064dac42702b3360334b9d79e,"new stress-fix code, recovery tooling, or evidence/report artifact"
scripts/publication/migrate_completed_synthetic_safi_results.jl,removed,a5e92a86df98cdf5d6bfef91bd4865811584878e877bf3dd58ba44e13be8efb3,,superseded recovery/validation artifact removed as stale
scripts/publication/migrate_completed_synthetic_safi_results.ps1,removed,c18254a7248408b19d00534429f69ece663f4263693a8a2277a3513c2e9f53c5,,superseded recovery/validation artifact removed as stale
scripts/publication/show_latest_codex_run.ps1,added,,a1671930321df249992572e28f2c34f2bdb6623efa6468ad8cbac7b69bc990dd,"new stress-fix code, recovery tooling, or evidence/report artifact"
scripts/publication/start_codex_detached.ps1,modified,aec8953c208fa299fc2694fd4ed813b69d7c33964ceb294a8de231e1463bef1c,9678296635b5ae157e1e2d1bbaec3aaddde66491bdcbfd70ac52d5a4b17e2d40,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
scripts/publication/verify_publication_artifacts.jl,modified,d2bd975b4b059ee057fb21f3f1f85ff884c284a9574f1bc528dcc4d59a10b22c,4cb6873682b0a79b97f4ea33e0b30e771b620ae4bdf2d110aa772c514f7bb99a,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
src/publication/experiments.jl,modified,373cd53813a08e88c49085eb33da0a20b968c813494bb57fd5080bfec526858b,c5323258c3705db05bc6d52c46eec0d9ee37374d40cf2d12dcdc36e8a60217d7,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
src/publication/runtime.jl,modified,9e0f451116b3480e2a74dfdc0cd3612c5400c2efb077de2fdcd34a7fce921406,5aeb370cf81b0bca3aa3ade1bc708d9d2e488e01c6a446d3614e1468403bf4ad,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
test/runtests.jl,modified,d4d014893231b58f55b77937043f6fd8e97e8936d957f815c09ab2020d8719e9,2445ac435805cebaac8d692cdaebdd7296d5feef8f9bd7698bb6293b2495bafc,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
